,team_name,games_played,runs_per_game,runs_against_per_game,logo
c3f0a8ce-af67-497f-a750-3b859376b20a,Hoosiers,30,0.2,0.233333333,https://www.ncaa.com/sites/default/files/images/logos/schools/i/indiana.24.png
88104678-e53b-43b3-82f7-efb3a11cedb9,Minutemen,21,0.19047619,0.238095238,https://www.ncaa.com/sites/default/files/images/logos/schools/m/massachusetts.24.png
c9570e17-c4fd-41e6-908a-1a083941319d,Tigers,16,0.1875,0.375,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pacific.24.png
2a997096-a381-469d-a7e9-9e031c8b071c,Sycamores,16,0.1875,0.125,https://www.ncaa.com/sites/default/files/images/logos/schools/i/indiana-st.24.png
f8b1bf00-5b73-4ac4-98c0-ec554027ae32,Cornhuskers,27,0.185185185,0.148148148,https://www.ncaa.com/sites/default/files/images/logos/schools/n/nebraska.24.png
c10544de-e3bd-4776-ba2e-83df8c017fd1,Hawkeyes,29,0.172413793,0.379310345,https://www.ncaa.com/sites/default/files/images/logos/schools/i/iowa.24.png
aed211c3-23a4-4188-ad70-22c6eba7d765,Bulldogs,12,0.166666667,0.25,https://www.ncaa.com/sites/default/files/images/logos/schools/d/drake.24.png
4b3ff02c-e0ba-435b-a565-6075bc491684,Eagles,30,0.166666667,0.433333333,https://www.ncaa.com/sites/default/files/images/logos/schools/b/boston-college.24.png
4aebd148-8119-4875-954c-66779867989b,Nittany Lions,30,0.166666667,0.233333333,https://www.ncaa.com/sites/default/files/images/logos/schools/p/penn-st.24.png
28023973-1d9d-4d01-b939-dc8f9b44fb1c,Broncos,18,0.166666667,0.222222222,https://www.ncaa.com/sites/default/files/images/logos/schools/s/santa-clara.24.png
a601205f-3bfe-4052-ac0b-b8f18cf3efd3,Pirates,20,0.15,0.55,https://www.ncaa.com/sites/default/files/images/logos/schools/e/east-carolina.24.png
b03bb029-4499-4a2c-9074-5071ed360b21,Scarlet Knights,27,0.148148148,0.296296296,https://www.ncaa.com/sites/default/files/images/logos/schools/r/rutgers.24.png
1551b3a0-6d10-4ffa-8dfa-73b56f004553,Tigers,27,0.148148148,0.259259259,https://www.ncaa.com/sites/default/files/images/logos/schools/m/memphis.24.png
054c3e85-0552-4549-b123-7e84af6e7b6c,Knights,28,0.142857143,0.178571429,https://www.ncaa.com/sites/default/files/images/logos/schools/u/ucf.24.png
1c7ec608-3b36-4cee-adac-9265e3792597,Gamecocks,29,0.137931034,0.172413793,https://www.ncaa.com/sites/default/files/images/logos/schools/s/south-carolina.24.png
399ad7fb-de60-45a6-a71f-d26e00f1a4ec,Green Wave,22,0.136363636,0.181818182,https://www.ncaa.com/sites/default/files/images/logos/schools/t/tulane.24.png
d24efd99-8717-43b9-a086-9986a684ac04,Dons,23,0.130434783,0.086956522,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-francisco.24.png
aa7af640-5762-4686-9181-39f7b8a8186e,Falcons,16,0.125,0.5,https://www.ncaa.com/sites/default/files/images/logos/schools/a/air-force.24.png
0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Yellow Jackets,25,0.12,0.16,https://www.ncaa.com/sites/default/files/images/logos/schools/g/georgia-tech.24.png
1a470730-f328-4fb1-8bbf-36a069e4d6b2,Rams,26,0.115384615,0.346153846,https://www.ncaa.com/sites/default/files/images/logos/schools/c/colorado-st.24.png
9fccbf28-2858-4263-821c-fdefb3c7efa3,Buffaloes,27,0.111111111,0.333333333,https://www.ncaa.com/sites/default/files/images/logos/schools/c/colorado.24.png
24051034-96bb-4f78-a3a6-312f3258780f,Panthers,28,0.107142857,0.5,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pittsburgh.24.png
b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Braves,10,0.1,0.1,https://www.ncaa.com/sites/default/files/images/logos/schools/b/bradley.24.png
1e42cce3-236b-4f3e-9650-2c45e6332e1e,Billikens,20,0.1,0.15,https://www.ncaa.com/sites/default/files/images/logos/schools/s/saint-louis.24.png
b827dbdf-230f-4916-9703-3bb9004e26eb,Volunteers,31,0.096774194,0.096774194,https://www.ncaa.com/sites/default/files/images/logos/schools/t/tennessee.24.png
efba5350-79bc-47aa-a189-db177b95b491,Huskies,32,0.09375,0.28125,https://www.ncaa.com/sites/default/files/images/logos/schools/u/uconn.24.png
c7569eae-5b93-4197-b204-6f3a62146b25,Badgers,33,0.090909091,0.212121212,https://www.ncaa.com/sites/default/files/images/logos/schools/w/wisconsin.24.png
f8c705b7-87d3-411a-9c8b-5124daab0469,Red Raiders,33,0.090909091,0.121212121,https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas-tech.24.png
8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Orange,34,0.088235294,0.058823529,https://www.ncaa.com/sites/default/files/images/logos/schools/s/syracuse.24.png
ad9a3e21-4585-4e35-8946-290fe4a16f18,Explorers,12,0.083333333,0.5,https://www.ncaa.com/sites/default/files/images/logos/schools/l/la-salle.24.png
b83de2df-328f-4303-9895-cdff048fb1ed,Bears,14,0.071428571,0.214285714,https://www.ncaa.com/sites/default/files/images/logos/schools/m/missouri-st.24.png
4f4b0771-994c-4126-822d-7525aaa00f65,Bulldogs,30,0.066666667,0.166666667,https://www.ncaa.com/sites/default/files/images/logos/schools/g/georgia.24.png
d52c3640-069c-4554-982e-e6537c8044f1,Colonials,17,0.058823529,0.235294118,https://www.ncaa.com/sites/default/files/images/logos/schools/g/george-washington.24.png
7cdfcf92-7fe7-46f1-9b66-6912114182e6,Salukis,18,0.055555556,0.333333333,https://www.ncaa.com/sites/default/files/images/logos/schools/s/southern-ill.24.png
441a11b4-b506-45b3-8030-fe72a4381c40,Lions,20,0.05,0.3,https://www.ncaa.com/sites/default/files/images/logos/schools/l/loyola-marymount.24.png
224e3b21-30e7-4a05-9e8c-62721d581db8,Pilots,20,0.05,0.5,https://www.ncaa.com/sites/default/files/images/logos/schools/p/portland.24.png
e76479d0-a768-46d2-89bf-7b9dae12bec8,Patriots,16,0,0.375,https://www.ncaa.com/sites/default/files/images/logos/schools/g/george-mason.24.png
55af9c69-3675-4b9b-a882-96640b782fff,Bulls,19,0,0.421052632,https://www.ncaa.com/sites/default/files/images/logos/schools/s/south-fla.24.png
