,team_name,games_played,runs_per_game,runs_against_per_game
2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Wildcats,37,0.24324324324324326,0.2702702702702703
227d3567-d57b-417e-afc4-735e4cb308a1,Keydets,2,0.0,1.0
22984593-0701-4648-b8a8-f6d695238620,Mastodons,3,0.3333333333333333,0.6666666666666666
22d90601-19d4-461b-a901-924d12f116ed,Bonnies,20,0.35,0.2
22fbe5dc-c6db-4675-b3a3-2d8af7f5d313,Bison,4,0.25,0.0
23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6,Seawolves,6,0.0,0.0
23fec4e7-108f-4569-85d1-bef2f794e925,Panthers,3,0.3333333333333333,0.6666666666666666
24051034-96bb-4f78-a3a6-312f3258780f,Panthers,28,0.10714285714285714,0.5
255c2a87-40c0-4989-bbb9-d286aac5d28e,Gaels,6,0.0,0.3333333333333333
267d417a-8f85-4c87-a15a-068c089a74c6,Hornets,4,0.0,0.75
2778d005-cc14-4e58-9bf2-3fc37bffb62f,Terrapins,29,0.3103448275862069,0.10344827586206896
28023973-1d9d-4d01-b939-dc8f9b44fb1c,Broncos,18,0.16666666666666666,0.2222222222222222
290a5130-836d-45e6-824f-28704d6ba246,Great Danes,3,0.0,0.0
2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Wildcats,25,0.24,0.08
2959bd24-7007-41ae-a3a3-abdf26888cfc,Golden Hurricane,23,0.21739130434782608,0.30434782608695654
29de4e5e-ee5b-48c8-bffc-1972e7da1e30,Spartans,21,0.3333333333333333,0.6190476190476191
2a997096-a381-469d-a7e9-9e031c8b071c,Sycamores,16,0.1875,0.125
2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Panthers,20,0.3,0.15
2d4f0015-adb4-4877-8c15-4a6eed7eed03,Cougars,27,0.3333333333333333,0.48148148148148145
2da57857-b038-4ad3-8199-e3fb339f57d2,Roadrunners,4,0.0,0.75
2e78bd1b-9422-491e-9c73-37cf83b0e34e,Spartans,4,1.25,3.25
2e8442e9-bd09-4d46-9dd3-de79433287f3,Owls,4,0.25,1.0
2ed86226-3fff-4083-90fa-6b02307e6f73,Eagles,4,0.0,0.0
2f4d21f8-6d5f-48a5-abca-52a30583871a,Bulldogs,37,0.4594594594594595,0.10810810810810811
2f513e67-f019-4eec-9096-fbc5911858b6,Eagles,3,1.0,2.0
2f8c85a7-54f4-4942-be16-2cbac77c82d7,Cougars,8,0.0,1.375
315c4deb-3c9d-413d-a369-7168f2545d21,Cardinals,3,0.3333333333333333,0.0
31aedd91-a77e-46c1-8bdc-80e9860c159d,Crusaders,2,0.0,0.0
324ccccc-575b-4b82-acb0-fbb8e68da13b,Hokies,29,0.41379310344827586,0.20689655172413793
32755362-6336-4dd3-ac34-6f72a6cc150b,Retrievers,6,0.0,0.16666666666666666
327f09e2-e75f-4014-8ef7-caf9202cd583,Bobcats,5,0.2,0.2
34dd83ac-64f2-4b73-8577-899b2a46f5cc,Rockets,5,0.4,0.6
350271fa-d620-4398-822c-72857291199f,Golden Eagles,1,0.0,0.0
3556d445-b3f1-467e-b150-952b32dfb150,Pioneers,3,0.0,0.6666666666666666
36ca2008-cd2e-4549-8b3b-c745167e07f3,Pride,5,0.2,0.0
394d1b2b-7a19-4d43-b04a-5f366c24e5bf,Hatters,2,0.0,0.5
399ad7fb-de60-45a6-a71f-d26e00f1a4ec,Green Wave,22,0.13636363636363635,0.18181818181818182
39d00ef7-320d-47cf-a2fa-859bc24d16b4,Anteaters,5,0.0,0.4
3a000455-de7c-4ca8-880e-abdce7f21da9,Trojans,34,0.47058823529411764,0.23529411764705882
3b088563-ca8a-49a6-9e19-5e4cb186ae1d,Midshipmen,3,0.0,0.0
3b6293f3-03db-46d2-8793-248963c2d83b,Gauchos,5,0.2,0.2
